Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
51,1692885490868256497,1692885490843796433,3137.735,"[-0.05257921665906906, -0.7621177434921265, 0.5594210624694824, 0.3216519057750702]","[160.44517517089844, 33.30536651611328, -78.46128845214844]"
52,1692885490874468581,1692885490843796433,3137.7400000000002,"[-0.05255541205406189, -0.7620308995246887, 0.5594803690910339, 0.32175853848457336]","[160.42904663085938, 33.311279296875, -78.47937774658203]"
53,1692885490880259900,1692885490843796433,3137.745,"[-0.0525360107421875, -0.7619437575340271, 0.5595369338989258, 0.3218695819377899]","[160.4129638671875, 33.31795120239258, -78.49734497070312]"
54,1692885490886161732,1692885490843796433,3137.75,"[-0.05196002125740051, -0.7621777057647705, 0.559374213218689, 0.3216920495033264]","[160.38546752929688, 33.26438903808594, -78.46305847167969]"
55,1692885490892258254,1692885490843796433,3137.755,"[-0.05194538086652756, -0.7620885372161865, 0.5594333410263062, 0.3218028247356415]","[160.36976623535156, 33.271324157714844, -78.4813461303711]"
56,1692885490898268596,1692885490843796433,3137.76,"[-0.05193454027175903, -0.7619956731796265, 0.5594972372055054, 0.32191354036331177]","[160.3542022705078, 33.27840805053711, -78.50037384033203]"
57,1692885490904225500,1692885490843796433,3137.765,"[-0.05192771926522255, -0.7619038820266724, 0.5595572590827942, 0.32202741503715515]","[160.33885192871094, 33.286155700683594, -78.51898956298828]"
58,1692885490910303575,1692885490843796433,3137.77,"[-0.051920630037784576, -0.7618156671524048, 0.5596140623092651, 0.3221387565135956]","[160.32386779785156, 33.29374694824219, -78.53689575195312]"
59,1692885490916303131,1692885490843796433,3137.775,"[-0.051913920789957047, -0.7617260217666626, 0.559671938419342, 0.3222512900829315]","[160.3087615966797, 33.30143737792969, -78.55508422851562]"
60,1692885490922915743,1692885490843796433,3137.78,"[-0.051910366863012314, -0.7616374492645264, 0.5597302317619324, 0.32235997915267944]","[160.2943115234375, 33.30901336669922, -78.57300567626953]"
61,1692885490929018074,1692885490843796433,3137.785,"[-0.05190085247159004, -0.7615509629249573, 0.5597854256629944, 0.3224697411060333]","[160.2793426513672, 33.31632614135742, -78.59058380126953]"
62,1692885490935238798,1692885490843796433,3137.79,"[-0.051892541348934174, -0.7614649534225464, 0.5598370432853699, 0.32258450984954834]","[160.26412963867188, 33.32423782348633, -78.60797882080078]"
63,1692885490941235597,1692885490944423183,3137.795,"[-0.05188128724694252, -0.7613822221755981, 0.5598837733268738, 0.32270050048828125]","[160.24871826171875, 33.3321533203125, -78.62471771240234]"
